,ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Time spent on fitness,Time spent on sleep,Time spent on social media,Change in your weight,Health issue during lockdown
223,R225,Outside Delhi-NCR,22,0.0,Very poor,0.0,10.0,8.0,Increased,YES
224,R226,Delhi-NCR,22,1.5,Average,0.0,9.0,6.0,Increased,NO
227,R229,Outside Delhi-NCR,23,1.0,Very poor,0.0,8.0,5.0,Increased,NO
231,R233,Delhi-NCR,22,4.0,Average,2.0,8.0,2.0,Increased,NO
234,R236,Delhi-NCR,22,5.0,Good,1.0,6.0,1.0,Remain Constant,YES
237,R239,Outside Delhi-NCR,30,3.0,Average,0.5,4.0,1.0,Remain Constant,NO
247,R250,Delhi-NCR,21,3.0,Very poor,0.0,7.0,2.0,Remain Constant,NO
249,R252,Delhi-NCR,21,5.0,Average,2.0,6.0,5.0,Increased,NO
261,R264,Outside Delhi-NCR,21,3.0,Good,1.0,6.0,0.5,Increased,YES
265,R268,Delhi-NCR,21,2.0,Poor,1.0,5.0,3.0,Remain Constant,NO
267,R270,Delhi-NCR,21,0.0,Average,0.0,7.0,3.0,Remain Constant,NO
269,R272,Delhi-NCR,21,4.0,Average,1.0,8.0,3.0,Remain Constant,NO
278,R282,Delhi-NCR,21,0.0,Very poor,0.0,8.0,3.0,Decreased,NO
280,R285,Delhi-NCR,25,5.0,Average,0.0,8.0,1.0,Remain Constant,NO
288,R293,Delhi-NCR,22,3.0,Average,0.0,8.0,2.0,Increased,NO
293,R298,Delhi-NCR,21,0.0,Very poor,0.0,6.0,4.0,Increased,NO
296,R302,Outside Delhi-NCR,25,1.0,Average,1.0,7.0,3.0,Increased,NO
298,R304,Outside Delhi-NCR,21,0.0,Very poor,0.0,10.0,3.0,Remain Constant,NO
300,R306,Delhi-NCR,23,5.0,Average,1.0,8.0,1.0,Remain Constant,NO
301,R307,Outside Delhi-NCR,22,2.0,Average,1.0,8.0,2.0,Remain Constant,NO
302,R308,Outside Delhi-NCR,22,4.0,Average,1.0,8.0,4.0,Increased,NO
304,R310,Delhi-NCR,21,3.0,Average,2.0,6.5,2.0,Increased,NO
305,R311,Outside Delhi-NCR,22,1.0,Average,1.0,8.0,1.0,Decreased,YES
306,R312,Outside Delhi-NCR,24,3.0,Very poor,0.0,6.0,3.0,Remain Constant,NO
310,R316,Outside Delhi-NCR,21,5.0,Very poor,2.0,10.0,6.0,Increased,YES
313,R320,Delhi-NCR,29,8.0,Good,1.0,8.0,0.5,Remain Constant,NO
